Energy Density Distribution
Distribution Type : Cylindric
Maximum Energy Density:736.81

Division Sizes
Radius :10 nm for 800 divisions.
Z :10 nm for 50 divisions.
Radius Center : x=0 y=0
Z Range From:-50 To: 450nm
Z\Radius	0nm	10nm	20nm	30nm	40nm	50nm	60nm	70nm	80nm	90nm	100nm	110nm	120nm	130nm	140nm	150nm	160nm	170nm	180nm	190nm	200nm	210nm	220nm	230nm	240nm	250nm	260nm	270nm	280nm	290nm	300nm	310nm	320nm	330nm	340nm	350nm	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm	790nm	800nm	810nm	820nm	830nm	840nm	850nm	860nm	870nm	880nm	890nm	900nm	910nm	920nm	930nm	940nm	950nm	960nm	970nm	980nm	990nm	1000nm	1010nm	1020nm	1030nm	1040nm	1050nm	1060nm	1070nm	1080nm	1090nm	1100nm	1110nm	1120nm	1130nm	1140nm	1150nm	1160nm	1170nm	1180nm	1190nm	1200nm	1210nm	1220nm	1230nm	1240nm	1250nm	1260nm	1270nm	1280nm	1290nm	1300nm	1310nm	1320nm	1330nm	1340nm	1350nm	1360nm	1370nm	1380nm	1390nm	1400nm	1410nm	1420nm	1430nm	1440nm	1450nm	1460nm	1470nm	1480nm	1490nm	1500nm	1510nm	1520nm	1530nm	1540nm	1550nm	1560nm	1570nm	1580nm	1590nm	1600nm	1610nm	1620nm	1630nm	1640nm	1650nm	1660nm	1670nm	1680nm	1690nm	1700nm	1710nm	1720nm	1730nm	1740nm	1750nm	1760nm	1770nm	1780nm	1790nm	1800nm	1810nm	1820nm	1830nm	1840nm	1850nm	1860nm	1870nm	1880nm	1890nm	1900nm	1910nm	1920nm	1930nm	1940nm	1950nm	1960nm	1970nm	1980nm	1990nm	2000nm	2010nm	2020nm	2030nm	2040nm	2050nm	2060nm	2070nm	2080nm	2090nm	2100nm	2110nm	2120nm	2130nm	2140nm	2150nm	2160nm	2170nm	2180nm	2190nm	2200nm	2210nm	2220nm	2230nm	2240nm	2250nm	2260nm	2270nm	2280nm	2290nm	2300nm	2310nm	2320nm	2330nm	2340nm	2350nm	2360nm	2370nm	2380nm	2390nm	2400nm	2410nm	2420nm	2430nm	2440nm	2450nm	2460nm	2470nm	2480nm	2490nm	2500nm	2510nm	2520nm	2530nm	2540nm	2550nm	2560nm	2570nm	2580nm	2590nm	2600nm	2610nm	2620nm	2630nm	2640nm	2650nm	2660nm	2670nm	2680nm	2690nm	2700nm	2710nm	2720nm	2730nm	2740nm	2750nm	2760nm	2770nm	2780nm	2790nm	2800nm	2810nm	2820nm	2830nm	2840nm	2850nm	2860nm	2870nm	2880nm	2890nm	2900nm	2910nm	2920nm	2930nm	2940nm	2950nm	2960nm	2970nm	2980nm	2990nm	3000nm	3010nm	3020nm	3030nm	3040nm	3050nm	3060nm	3070nm	3080nm	3090nm	3100nm	3110nm	3120nm	3130nm	3140nm	3150nm	3160nm	3170nm	3180nm	3190nm	3200nm	3210nm	3220nm	3230nm	3240nm	3250nm	3260nm	3270nm	3280nm	3290nm	3300nm	3310nm	3320nm	3330nm	3340nm	3350nm	3360nm	3370nm	3380nm	3390nm	3400nm	3410nm	3420nm	3430nm	3440nm	3450nm	3460nm	3470nm	3480nm	3490nm	3500nm	3510nm	3520nm	3530nm	3540nm	3550nm	3560nm	3570nm	3580nm	3590nm	3600nm	3610nm	3620nm	3630nm	3640nm	3650nm	3660nm	3670nm	3680nm	3690nm	3700nm	3710nm	3720nm	3730nm	3740nm	3750nm	3760nm	3770nm	3780nm	3790nm	3800nm	3810nm	3820nm	3830nm	3840nm	3850nm	3860nm	3870nm	3880nm	3890nm	3900nm	3910nm	3920nm	3930nm	3940nm	3950nm	3960nm	3970nm	3980nm	3990nm	4000nm	4010nm	4020nm	4030nm	4040nm	4050nm	4060nm	4070nm	4080nm	4090nm	4100nm	4110nm	4120nm	4130nm	4140nm	4150nm	4160nm	4170nm	4180nm	4190nm	4200nm	4210nm	4220nm	4230nm	4240nm	4250nm	4260nm	4270nm	4280nm	4290nm	4300nm	4310nm	4320nm	4330nm	4340nm	4350nm	4360nm	4370nm	4380nm	4390nm	4400nm	4410nm	4420nm	4430nm	4440nm	4450nm	4460nm	4470nm	4480nm	4490nm	4500nm	4510nm	4520nm	4530nm	4540nm	4550nm	4560nm	4570nm	4580nm	4590nm	4600nm	4610nm	4620nm	4630nm	4640nm	4650nm	4660nm	4670nm	4680nm	4690nm	4700nm	4710nm	4720nm	4730nm	4740nm	4750nm	4760nm	4770nm	4780nm	4790nm	4800nm	4810nm	4820nm	4830nm	4840nm	4850nm	4860nm	4870nm	4880nm	4890nm	4900nm	4910nm	4920nm	4930nm	4940nm	4950nm	4960nm	4970nm	4980nm	4990nm	5000nm	5010nm	5020nm	5030nm	5040nm	5050nm	5060nm	5070nm	5080nm	5090nm	5100nm	5110nm	5120nm	5130nm	5140nm	5150nm	5160nm	5170nm	5180nm	5190nm	5200nm	5210nm	5220nm	5230nm	5240nm	5250nm	5260nm	5270nm	5280nm	5290nm	5300nm	5310nm	5320nm	5330nm	5340nm	5350nm	5360nm	5370nm	5380nm	5390nm	5400nm	5410nm	5420nm	5430nm	5440nm	5450nm	5460nm	5470nm	5480nm	5490nm	5500nm	5510nm	5520nm	5530nm	5540nm	5550nm	5560nm	5570nm	5580nm	5590nm	5600nm	5610nm	5620nm	5630nm	5640nm	5650nm	5660nm	5670nm	5680nm	5690nm	5700nm	5710nm	5720nm	5730nm	5740nm	5750nm	5760nm	5770nm	5780nm	5790nm	5800nm	5810nm	5820nm	5830nm	5840nm	5850nm	5860nm	5870nm	5880nm	5890nm	5900nm	5910nm	5920nm	5930nm	5940nm	5950nm	5960nm	5970nm	5980nm	5990nm	6000nm	6010nm	6020nm	6030nm	6040nm	6050nm	6060nm	6070nm	6080nm	6090nm	6100nm	6110nm	6120nm	6130nm	6140nm	6150nm	6160nm	6170nm	6180nm	6190nm	6200nm	6210nm	6220nm	6230nm	6240nm	6250nm	6260nm	6270nm	6280nm	6290nm	6300nm	6310nm	6320nm	6330nm	6340nm	6350nm	6360nm	6370nm	6380nm	6390nm	6400nm	6410nm	6420nm	6430nm	6440nm	6450nm	6460nm	6470nm	6480nm	6490nm	6500nm	6510nm	6520nm	6530nm	6540nm	6550nm	6560nm	6570nm	6580nm	6590nm	6600nm	6610nm	6620nm	6630nm	6640nm	6650nm	6660nm	6670nm	6680nm	6690nm	6700nm	6710nm	6720nm	6730nm	6740nm	6750nm	6760nm	6770nm	6780nm	6790nm	6800nm	6810nm	6820nm	6830nm	6840nm	6850nm	6860nm	6870nm	6880nm	6890nm	6900nm	6910nm	6920nm	6930nm	6940nm	6950nm	6960nm	6970nm	6980nm	6990nm	7000nm	7010nm	7020nm	7030nm	7040nm	7050nm	7060nm	7070nm	7080nm	7090nm	7100nm	7110nm	7120nm	7130nm	7140nm	7150nm	7160nm	7170nm	7180nm	7190nm	7200nm	7210nm	7220nm	7230nm	7240nm	7250nm	7260nm	7270nm	7280nm	7290nm	7300nm	7310nm	7320nm	7330nm	7340nm	7350nm	7360nm	7370nm	7380nm	7390nm	7400nm	7410nm	7420nm	7430nm	7440nm	7450nm	7460nm	7470nm	7480nm	7490nm	7500nm	7510nm	7520nm	7530nm	7540nm	7550nm	7560nm	7570nm	7580nm	7590nm	7600nm	7610nm	7620nm	7630nm	7640nm	7650nm	7660nm	7670nm	7680nm	7690nm	7700nm	7710nm	7720nm	7730nm	7740nm	7750nm	7760nm	7770nm	7780nm	7790nm	7800nm	7810nm	7820nm	7830nm	7840nm	7850nm	7860nm	7870nm	7880nm	7890nm	7900nm	7910nm	7920nm	7930nm	7940nm	7950nm	7960nm	7970nm	7980nm	7990nm
-50nm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-40nm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-30nm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-20nm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-10nm	1.78272e-007	0	0	0	0	7.94662e-012	0	0	0	0	0	0	3.63977e-017	0	0	3.15784e-017	0	0	9.53771e-012	7.83389e-012	0	0	0	7.66757e-012	0	0	4.50071e-017	0	0	1.82127e-016	7.73882e-012	0	0	0	0	7.52365e-012	0	0	0	0	0	0	7.8806e-012	2.00115e-017	0	2.17805e-016	7.75165e-012	0	0	7.66971e-012	0	0	0	0	2.59456e-016	0	0	7.67846e-012	0	7.77401e-012	1.28235e-011	0	1.16716e-011	1.82309e-016	4.50088e-016	1.82782e-011	1.22135e-016	0	0	7.61598e-012	7.73301e-012	7.87917e-012	0	9.04534e-017	7.99894e-012	8.06065e-012	7.50263e-012	1.68926e-011	5.38828e-016	0	0	8.32955e-016	0	0	1.73969e-011	6.66952e-016	1.96158e-016	0	0	7.56748e-012	7.73407e-012	1.99833e-016	2.81936e-016	0	0	4.06831e-016	0	5.82424e-011	5.03312e-016	8.00975e-012	1.12333e-011	0	2.24703e-011	1.41837e-011	4.66499e-016	0	8.18959e-012	1.12174e-017	1.59895e-011	0	3.32214e-016	0	9.88561e-011	0	0	0	7.75855e-012	9.12112e-016	7.96887e-012	0	7.34368e-016	0	1.00694e-011	9.29687e-016	0	8.52788e-012	2.97558e-011	8.0579e-012	2.08772e-011	8.25068e-012	7.7356e-012	0	0	9.33169e-012	4.52267e-016	8.08666e-012	0	0	0	0	8.33523e-012	2.07664e-011	2.01962e-011	8.39309e-012	3.98213e-016	0	0	0	0	0	0	0	0	8.42604e-012	0	0	1.66506e-011	0	4.06702e-011	0	1.22828e-015	2.63273e-011	1.72136e-011	0	2.10786e-011	1.0002e-011	1.80031e-011	7.958e-016	0	8.10127e-012	0	0	8.53497e-012	5.47636e-016	1.73461e-011	9.01197e-012	1.44542e-011	9.82105e-012	1.66697e-015	1.73115e-011	0	1.66389e-011	0	0	0	0	1.92344e-011	0	0	1.78794e-011	1.10735e-011	0	0	9.47929e-016	1.70488e-015	1.1961e-011	0	0	0	0	9.42662e-012	8.73721e-012	8.68546e-012	0	8.1133e-016	2.09234e-015	0	0	0	0	2.19385e-016	0	9.11115e-012	1.47252e-011	8.65812e-012	2.06984e-011	9.25846e-016	0	7.82105e-012	1.78991e-011	8.6688e-012	0	8.59308e-012	0	1.07641e-011	1.20816e-011	0	0	3.23925e-011	4.13688e-016	3.55273e-011	9.01092e-012	0	0	1.44102e-015	9.04621e-012	0	0	0	0	1.81896e-011	8.54671e-012	0	9.3135e-012	4.84894e-016	9.76871e-012	9.98332e-016	0	9.41107e-012	1.45867e-011	1.89884e-011	0	1.15239e-011	0	0	2.40678e-015	1.2874e-015	0	2.76287e-011	1.26211e-011	3.26995e-011	0	0	0	0	1.37347e-011	6.81225e-016	0	1.96221e-011	1.93145e-011	0	7.59915e-016	2.35487e-011	2.52891e-011	0	9.65422e-016	0	1.06631e-011	0	1.17197e-011	7.71566e-011	0	9.60346e-012	9.81853e-012	0	0	7.91039e-012	1.39739e-011	0	0	9.80743e-012	0	0	3.05542e-011	0	9.97678e-012	8.42402e-012	1.34824e-011	2.88494e-011	1.52244e-015	4.00246e-015	1.57714e-011	0	0	2.99062e-015	1.10509e-011	0	0	0	9.20054e-012	0	9.81462e-012	0	1.35283e-011	9.85137e-012	1.66667e-011	1.5684e-017	0	2.84398e-011	1.30945e-011	0	0	0	1.94121e-011	3.2575e-011	0	1.49919e-015	1.02995e-011	0	9.57514e-012	0	2.09923e-011	0	0	2.32668e-011	0	0	9.88438e-012	0	0	9.96215e-012	0	1.1115e-011	0	0	0	1.24922e-011	1.31172e-011	1.95174e-011	0	0	2.53706e-011	0	1.01172e-015	0	0	1.00426e-011	1.58131e-011	5.84809e-011	0	1.27546e-011	1.0657e-011	0	5.83157e-016	0	1.08396e-011	0	0	0	3.15342e-011	5.18946e-016	0	2.14419e-011	0	0	0	1.53139e-011	0	0	0	1.49475e-011	1.1054e-011	2.85451e-011	1.00081e-011	1.22593e-011	0	1.00336e-011	1.07698e-011	0	0	0	1.15075e-011	0	0	0	4.2427e-011	0	1.77371e-011	1.0123e-015	5.91788e-015	0	0	1.71541e-011	0	0	0	1.9652e-011	0	0	0	0	5.20871e-016	1.47744e-011	0	0	0	0	0	0	3.01561e-011	1.36046e-011	0	2.14924e-011	0	0	3.28919e-011	0	0	0	2.3098e-011	1.10256e-011	2.9819e-011	0	1.70327e-011	2.29256e-011	0	1.18406e-011	1.34746e-011	0	1.00907e-015	0	0	1.55142e-011	0	0	0	4.1452e-011	0	0	1.23173e-011	0	0	0	0	0	0	0	2.47522e-011	0	0	1.10567e-011	0	1.45409e-011	0	0	0	0	0	0	1.22588e-011	5.96871e-015	0	1.71467e-017	0	0	0	0	0	0	0	1.35332e-011	0	0	0	0	0	0	1.17939e-011	1.30658e-011	0	0	0	3.25922e-015	9.26527e-012	1.57522e-011	0	4.30976e-015	0	0	0	0	0	0	1.93222e-011	0	0	0	1.11938e-011	1.77e-011	1.21083e-011	0	1.41717e-011	0	0	1.33971e-011	1.27582e-011	0	0	0	0	0	4.38528e-015	1.32619e-011	0	0	0	0	0	1.44395e-011	0	0	0	0	0	1.27066e-011	0	0	0	2.24889e-015	1.67713e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.40956e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04853e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
